"met_id","pval","padj","log2fc"
"neg_00021_C00245",1.72582524454318e-05,0.00014885242734185,-0.521174021651831
"neg_00083_C01879",0.013268069032528,0.0243483181713944,-0.607506292591303
"neg_00096_C00025|C00979",0.00845723214670655,0.0162096949478542,-0.326055624552559
"neg_00096_C00025|C00979",0.00845723214670655,0.0162096949478542,-0.326055624552559
"neg_00123_C00209",0.0289214562199753,0.0477411597889545,1.56233863901542
"neg_00135_C00158|C00311",0.000535533987219731,0.00160660196165919,0.600554974028793
"neg_00135_C00158|C00311",0.000535533987219731,0.00160660196165919,0.600554974028793
"neg_00188_C00049",0.117326967137351,0.158736484950534,-1.02809731564388
"neg_00192_C03547",0.000395266211630063,0.00129873183821306,-0.45999363130338
"neg_00196_C01601",0.000565591240275293,0.00168214636116359,-0.620740284704134
"neg_00197_C00249",3.02115954486257e-05,0.000200442315957228,1.20096641414363
"neg_00201_C00186|C02154",0.578301797172916,0.627402893159296,-0.0501363292139061
"neg_00201_C00186|C02154",0.578301797172916,0.627402893159296,-0.0501363292139061
"neg_00202_C01530",0.000321263505798084,0.00111089200794118,0.732650096955645
"neg_00213_C06423",0.000328437637130437,0.00111089200794118,-0.835019205211903
"neg_00229_C06424",3.40999515152768e-06,4.35721602695203e-05,1.29471489603455
"neg_00230_C17714",0.00931485491305382,0.017754833950296,-0.477149221439152
"neg_00233_C00042|C02170",0.270516135952071,0.328619953885439,0.178099817849503
"neg_00233_C00042|C02170",0.270516135952071,0.328619953885439,0.178099817849503
"neg_00236_C02679",0.24212900188536,0.298337520180176,0.153547291074723
"neg_00241_C01571",0.000200771812390338,0.000752894296463768,-0.644221761398626
"neg_00259_C00064",0.105528353362016,0.145629127639582,0.130817363243303
"neg_00269_C07086",0.00066378654935353,0.0019083863293914,0.797648783951551
"neg_00277_C01384",0.0262391329375825,0.0435216387666633,-0.851998060172853
"neg_00278_|C01712|C00712",0.521857313178346,0.573378258109966,-0.143239021238649
"neg_00278_|C01712|C00712",0.521857313178346,0.573378258109966,-0.143239021238649
"neg_00284_C08356|C00137|C00936|C01487||C19891",0.0252109588830224,0.0424281990958182,-0.317832708320953
"neg_00284_C08356|C00137|C00936|C01487||C19891",0.0252109588830224,0.0424281990958182,-0.317832708320953
"neg_00284_C08356|C00137|C00936|C01487||C19891",0.0252109588830224,0.0424281990958182,-0.317832708320953
"neg_00284_C08356|C00137|C00936|C01487||C19891",0.0252109588830224,0.0424281990958182,-0.317832708320953
"neg_00284_C08356|C00137|C00936|C01487||C19891",0.0252109588830224,0.0424281990958182,-0.317832708320953
"neg_00287_C01697|C00392|C00794",0.0727380222485195,0.105884462766832,-0.472146812343601
"neg_00287_C01697|C00392|C00794",0.0727380222485195,0.105884462766832,-0.472146812343601
"neg_00287_C01697|C00392|C00794",0.0727380222485195,0.105884462766832,-0.472146812343601
"neg_00293_C00791",0.109742555942199,0.150304246755706,0.580784141652948
"neg_00295_C01551",0.521139842652345,0.573378258109966,-0.116319602405305
"neg_00299_C01727",0.00190874590841976,0.00463744604510436,1.49323914722452
"neg_00305_C00407|C00123|C01933",1.49796278367349e-05,0.000133951544659932,-0.700373613472955
"neg_00305_C00407|C00123|C01933",1.49796278367349e-05,0.000133951544659932,-0.700373613472955
"neg_00305_C00407|C00123|C01933",1.49796278367349e-05,0.000133951544659932,-0.700373613472955
"neg_00319_C04025",5.83012530190447e-05,0.000309445112178006,1.26012845311055
"neg_00326_C00262",0.252079150738745,0.308394705691018,-0.0948585484045488
"neg_00327_C00587",0.00145655766144515,0.00375009248655653,-0.413251497902628
"neg_00330_C00183||C01799",0.246545232296997,0.302697883069267,-0.413825272312049
"neg_00330_C00183||C01799",0.246545232296997,0.302697883069267,-0.413825272312049
"neg_00333_C00163",0.118028672006328,0.159062077508528,-0.217870931950802
"neg_00337_C00785",0.636918104678973,0.671977816863136,-0.152003968083456
"neg_00341_C03196",0.0563405191382742,0.0845107787074113,-1.29872410276468
"neg_00369_C00366",1.5142348526775e-05,0.000133951544659932,-3.90606856545363
"neg_00375_C00148",1.94616043447727e-06,2.79760562456107e-05,-0.771110531808404
"neg_00385_C00065",1.49069230563024e-06,2.44899450210682e-05,-0.999460550861471
"neg_00386_C00385",1.36593193419637e-05,0.000130901810360486,-2.11640229566758
"neg_00389_C15923|C08356|C00936|C00267|C01487",0.000965482393307551,0.00260227676321176,0.394393741745201
"neg_00389_C15923|C08356|C00936|C00267|C01487",0.000965482393307551,0.00260227676321176,0.394393741745201
"neg_00389_C15923|C08356|C00936|C00267|C01487",0.000965482393307551,0.00260227676321176,0.394393741745201
"neg_00389_C15923|C08356|C00936|C00267|C01487",0.000965482393307551,0.00260227676321176,0.394393741745201
"neg_00389_C15923|C08356|C00936|C00267|C01487",0.000965482393307551,0.00260227676321176,0.394393741745201
"neg_00395_C08261",5.12380954714688e-05,0.000289789228486176,2.03121384275225
"neg_00417_C00213|C00041|C00133",0.00473452354394558,0.00978830231510746,-0.352795731207983
"neg_00417_C00213|C00041|C00133",0.00473452354394558,0.00978830231510746,-0.352795731207983
"neg_00417_C00213|C00041|C00133",0.00473452354394558,0.00978830231510746,-0.352795731207983
"neg_00424_C00188|C00263|C05519",4.31332832525785e-05,0.000254408123109627,-0.573573430941927
"neg_00424_C00188|C00263|C05519",4.31332832525785e-05,0.000254408123109627,-0.573573430941927
